code|http_code|type|exposed|notifiable

0|200|OK|1|0

6000|500|INTERNAL SERVER ERROR|1|1

6100|401|AUTH / NO IDENTITY|1|1
6101|403|AUTH / FORBIDDEN|1|1

6200|400|INPUT / INVALID|1|1

6300|404|RESOURCE / NOT FOUND|1|1
6301|409|RESOURCE / CONFLICT|1|1
6302|500|RESOURCE / NOT INSERTED|1|1
6303|500|RESOURCE / NOT UPDATED|1|1
6304|500|RESOURCE / NOT DELETED|1|1

6400|408|REQUEST / TIMEOUT|1|1
6401|429|REQUEST / RATE LIMIT|1|1
6402|502|REQUEST / REMOTE SERVICE UNAVAILABLE|1|1
6403|504|REQUEST / REMOTE SERVICE TIMEOUT|1|1
6404|503|REQUEST / LOCAL SERVICE UNACCESSIBLE|1|1

6500|403|APP / USER HIERARCHY|1|1
6501|403|APP / USER OWNERSHIP|1|1
6502|403|APP / USER PERMISSION|1|1

7000|500|PRIVATE SERVER ERROR|0|1